City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
166,sao gabriel da cachoeira,-0.1303,-67.0892,22.93,97,70,0.8,BR,1705401191
167,pedernales,18.0384,-71.744,24.35,67,0,1.05,DO,1705401192
168,kardla,58.9978,22.7492,-9.97,78,94,6.71,EE,1705401192
169,hawaiian paradise park,19.5933,-154.9731,22.8,96,40,2.57,US,1705400877
170,usogorsk,63.4106,48.6872,-11.85,95,100,4.01,RU,1705401192
171,fortuna,40.5982,-124.1573,9.4,97,100,1.79,US,1705401193
172,kirensk,57.7853,108.1119,-19.18,95,100,4.78,RU,1705401193
173,nantucket,41.2835,-70.0995,-0.57,94,100,5.71,US,1705400971
174,merizo village,13.2658,144.6691,26.85,87,65,7.32,GU,1705400988
175,ra's bayrut,33.9,35.4833,17.81,52,75,7.2,LB,1705401194
176,kone,-21.0595,164.8658,26.01,84,100,2.1,NC,1705401194
177,namibe,-15.1961,12.1522,25.37,63,97,3.78,AO,1705400879
178,castro,-24.7911,-50.0119,22.77,81,82,1.58,BR,1705401194
179,saipan,15.1355,145.701,24.39,88,100,5.14,MP,1705400880
180,colares,38.7992,-9.4469,17.96,94,75,11.32,PT,1705401195
181,dunedin,-45.8742,170.5036,13.78,79,18,4.47,NZ,1705400902
182,ust-nera,64.5667,143.2,-40.56,99,68,1.96,RU,1705400940
183,dudinka,69.4058,86.1778,-31.85,90,98,5.81,RU,1705400910
184,kajaani,64.2273,27.7285,-20.97,84,100,0.51,FI,1705401196
185,utrik,11.2278,169.8474,26.31,73,92,9.07,MH,1705400890
186,pasni,25.2631,63.471,24.54,59,20,7.07,PK,1705401196
187,al kharijah,25.4514,30.5464,18.99,31,0,3.91,EG,1705401196
188,selfoss,63.9331,-20.9971,-6.09,55,57,5.56,IS,1705401196
189,giyani,-23.3025,30.7187,34.53,38,100,2.86,ZA,1705401103
190,havre,49.5833,0.3333,3.22,80,100,1.54,FR,1705401197
191,santa maria del oro,25.9333,-105.3667,5.92,38,53,1.75,MX,1705401197
192,gafsa,34.425,8.7842,17.12,36,0,0.51,TN,1705401197
193,salinas,36.6777,-121.6555,10.96,94,0,0.0,US,1705401198
194,minas de marcona,-15.2119,-75.1103,17.04,86,99,3.53,PE,1705401010
195,deogarh,21.5333,84.7333,27.21,37,24,1.57,IN,1705401198
196,college,64.8569,-147.8028,-8.03,82,100,1.54,US,1705400908
197,westport,41.1415,-73.3579,-1.72,83,100,3.09,US,1705400964
198,agat village,13.3886,144.6585,27.06,85,0,4.12,GU,1705401199
199,rengasdengklok,-6.1592,107.2981,32.07,74,85,4.61,ID,1705401199
200,ad dilam,23.9915,47.1627,24.23,27,69,2.51,SA,1705401199
201,jauharabad,32.2898,72.2813,20.85,14,0,1.67,PK,1705401200
202,magadan,59.5667,150.8,-28.04,77,80,2.91,RU,1705401200
203,san antonio de pale,-1.4014,5.6325,26.83,81,95,3.88,GQ,1705400978
204,ta`u,-14.2336,-169.5144,25.79,89,100,6.58,AS,1705400990
205,yeniseysk,58.4497,92.1703,-27.25,99,92,1.34,RU,1705400932
206,ballina,-28.8667,153.5667,23.21,89,100,4.2,AU,1705400994
207,richards bay,-28.783,32.0377,27.45,63,79,3.3,ZA,1705400963
